accountId,type,amount,daysAgo,description,reference
ACC-CA-001,CREDIT,1285.00,181,Opening deposit,opening-ACC-CA-001
SA_001,CREDIT,2670.00,181,Opening savings deposit,opening-SA_001
ACC-CA-001,CREDIT,2145.00,178,Monthly salary - Atelier Demo,salary-1-0
ACC-CA-001,DEBIT,728.00,175,Monthly rent,rent-1-0
ACC-CA-001,DEBIT,90.40,170,Electricity and internet,bills-1-0
ACC-CA-001,DEBIT,147.65,162,Groceries - Marche Demo,groceries-1-0
ACC-CA-001,DEBIT,12.99,157,Music subscription,music-1-0
ACC-CA-001,DEBIT,205.00,151,Savings transfer to SA_001,demo-savings-001-0
SA_001,CREDIT,205.00,151,Savings transfer from ACC-CA-001,demo-savings-001-0
ACC-CA-001,CREDIT,2145.00,148,Monthly salary - Atelier Demo,salary-1-1
ACC-CA-001,DEBIT,728.00,145,Monthly rent,rent-1-1
ACC-CA-001,DEBIT,90.40,140,Electricity and internet,bills-1-1
ACC-CA-001,DEBIT,150.65,132,Groceries - Marche Demo,groceries-1-1
ACC-CA-001,DEBIT,12.99,127,Music subscription,music-1-1
ACC-CA-001,DEBIT,205.00,121,Savings transfer to SA_001,demo-savings-001-1
SA_001,CREDIT,205.00,121,Savings transfer from ACC-CA-001,demo-savings-001-1
ACC-CA-001,CREDIT,2145.00,118,Monthly salary - Atelier Demo,salary-1-2
ACC-CA-001,DEBIT,728.00,115,Monthly rent,rent-1-2
ACC-CA-001,DEBIT,90.40,110,Electricity and internet,bills-1-2
ACC-CA-001,DEBIT,153.65,102,Groceries - Marche Demo,groceries-1-2
ACC-CA-001,DEBIT,12.99,97,Music subscription,music-1-2
ACC-CA-001,DEBIT,205.00,91,Savings transfer to SA_001,demo-savings-001-2
SA_001,CREDIT,205.00,91,Savings transfer from ACC-CA-001,demo-savings-001-2
ACC-CA-001,CREDIT,2145.00,88,Monthly salary - Atelier Demo,salary-1-3
ACC-CA-001,DEBIT,728.00,85,Monthly rent,rent-1-3
ACC-CA-001,DEBIT,90.40,80,Electricity and internet,bills-1-3
ACC-CA-001,DEBIT,156.65,72,Groceries - Marche Demo,groceries-1-3
ACC-CA-001,DEBIT,12.99,67,Music subscription,music-1-3
ACC-CA-001,DEBIT,205.00,61,Savings transfer to SA_001,demo-savings-001-3
SA_001,CREDIT,205.00,61,Savings transfer from ACC-CA-001,demo-savings-001-3
ACC-CA-001,CREDIT,2145.00,58,Monthly salary - Atelier Demo,salary-1-4
ACC-CA-001,DEBIT,728.00,55,Monthly rent,rent-1-4
ACC-CA-001,DEBIT,90.40,50,Electricity and internet,bills-1-4
ACC-CA-001,DEBIT,159.65,42,Groceries - Marche Demo,groceries-1-4
ACC-CA-001,DEBIT,12.99,37,Music subscription,music-1-4
ACC-CA-001,DEBIT,205.00,31,Savings transfer to SA_001,demo-savings-001-4
SA_001,CREDIT,205.00,31,Savings transfer from ACC-CA-001,demo-savings-001-4
